Probability_Failed,Actual_Result,>0.3
0.9848369527095145,1,TRUE
0,1,
0,1,
0.9848369527095145,1,TRUE
0.9848369527095145,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8277187336522018,0,
0.9412197919305021,0,
0,1,
0,1,
0.9837329858235176,1,TRUE
0,1,
0.9837329858235176,1,TRUE
0,1,
0,1,
0,1,
0.9837329858235176,1,TRUE
0,1,
0.9836072687612046,1,TRUE
0.9760775852210911,1,TRUE
0,1,
0,1,
0,1,
0.9752560894222596,1,TRUE
0.9752560894222596,1,TRUE
0,1,
0,1,
0.932749826,0,
0,1,
0,1,
0.9752560894222596,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.943942537,0,
0,1,
0,1,
0,1,
0.9752560894222596,1,TRUE
0,1,
0.754800682,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.754800682,0,
0.8731517742495625,0,
0,1,
0.8731517742495625,0,
0.9744017444155928,1,TRUE
0,1,
0,1,
0.9742648547808888,1,TRUE
0.9730739364059632,1,TRUE
0.6832864347394796,0,
0,1,
0,1,
0.904188413,0,
0,1,
0,1,
0,1,
0,1,
0.6832864347394796,0,
0,1,
0,1,
0,1,
0,1,
0.9722013512256504,1,TRUE
0.8731517742495625,0,
0.9722013512256504,1,TRUE
0,1,
0.9722013512256504,1,TRUE
0,1,
0.9711772529653223,1,TRUE
0.8333905558957746,0,
0,1,
0.9642669767978884,1,TRUE
0,1,
0,1,
0,1,
0.8696082073763607,0,
0.9642669767978884,1,TRUE
0,1,
0,1,
0.9642669767978884,1,TRUE
0.9642669767978884,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.6584440987224263,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9642669767978884,1,TRUE
0,1,
0,1,
0,1,
0.7150468213961934,0,
0,1,
0.8696082073763607,0,
0.9622807793466372,1,TRUE
0,1,
0.8826150977597537,0,
0.932749826,0,
0,1,
0.6647519920256193,0,
0,1,
0.9619167413628408,1,TRUE
0.9619167413628408,1,TRUE
0,1,
0,1,
0,1,
0.9619167413628408,1,TRUE
0,1,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0.96483918,0,
0.7242959509886131,0,
0.9619167413628408,1,TRUE
0,1,
0,1,
0,1,
0.9588736552450853,1,TRUE
0.5070532809835471,0,
0.9588736552450853,1,TRUE
0,1,
0.9577482642364149,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.9577482642364149,1,TRUE
0,1,
0,1,
0.9577482642364149,1,TRUE
0,1,
0.754800682,0,
0.9561614496368834,1,TRUE
0.9560731973351421,1,TRUE
0.9555048900873728,1,TRUE
0.9553020116200902,1,TRUE
0,1,
0,1,
0,1,
0.9553020116200902,1,TRUE
0.8085349845516652,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9548896285715653,1,TRUE
0,1,
0,1,
0.9548896285715653,1,TRUE
0,1,
0.9548896285715653,1,TRUE
0,1,
0.9523459042477488,1,TRUE
0,1,
0,1,
0.8085349845516652,0,
0,1,
0.9516061156457125,1,TRUE
0,1,
0,1,
0,1,
0.8696082073763607,0,
0,1,
0,1,
0.7990809518649533,0,
0,1,
0,1,
0,1,
0.9510510049433235,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.932749826,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9510510049433235,1,TRUE
0,1,
0.7445339390355187,0,
0,1,
0,1,
0.9510510049433235,1,TRUE
0,1,
0,1,
0,1,
0.9510510049433235,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.9510510049433235,1,TRUE
0,1,
0.9510510049433235,1,TRUE
0,1,
0,1,
0,1,
0.754800682,0,
0,1,
0,1,
0.9474137538723499,1,TRUE
0.9474137538723499,1,TRUE
0,1,
0.9459064305883277,1,TRUE
0,1,
0,1,
0,1,
0.9459064305883277,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9459064305883277,1,TRUE
0,1,
0.9459064305883277,1,TRUE
0,1,
0.9459064305883277,1,TRUE
0.754800682,0,
0,1,
0,1,
0,1,
0.9459064305883277,1,TRUE
0,1,
0,1,
0,1,
0.9459064305883277,1,TRUE
0.9459064305883277,1,TRUE
